pacific_code,pacific_name,counterpart_code,counterpart_name,year,value_people,pct_population
PG,Papua New Guinea,SB,Solomon Islands,2015,564.0,0.0065
PG,Papua New Guinea,VU,Vanuatu,2015,67.0,0.0008
PG,Papua New Guinea,WS,Samoa,2015,40.0,0.0005
PG,Papua New Guinea,CK,Cook Islands,2015,17.0,0.0002
PG,Papua New Guinea,GN,Guinea,2015,16.0,0.0002
PG,Papua New Guinea,FI,Finland,2015,10.0,0.0001
PG,Papua New Guinea,NO,Norway,2015,8.0,0.0001
PG,Papua New Guinea,DK,Denmark,2015,6.0,0.0001
PG,Papua New Guinea,HU,Hungary,2015,4.0,0.0
PG,Papua New Guinea,GR,Greece,2015,3.0,0.0
PG,Papua New Guinea,SK,Slovakia,2015,3.0,0.0
PG,Papua New Guinea,BO,Bolivia (Plurinational State of),2015,2.0,0.0
PG,Papua New Guinea,BG,Bulgaria,2015,2.0,0.0
PG,Papua New Guinea,EE,Estonia,2015,2.0,0.0
PG,Papua New Guinea,SI,Slovenia,2015,2.0,0.0
PG,Papua New Guinea,IS,Iceland,2015,1.0,0.0
PG,Papua New Guinea,AU,Australia,2020,33732.0,0.3437
PG,Papua New Guinea,SB,Solomon Islands,2020,549.0,0.0056
PG,Papua New Guinea,VU,Vanuatu,2020,68.0,0.0007
PG,Papua New Guinea,WS,Samoa,2020,36.0,0.0004
PG,Papua New Guinea,CK,Cook Islands,2020,18.0,0.0002
PG,Papua New Guinea,DK,Denmark,2020,14.0,0.0001
PG,Papua New Guinea,GN,Guinea,2020,14.0,0.0001
PG,Papua New Guinea,NO,Norway,2020,12.0,0.0001
PG,Papua New Guinea,FI,Finland,2020,11.0,0.0001
PG,Papua New Guinea,HU,Hungary,2020,4.0,0.0
PG,Papua New Guinea,LU,Luxembourg,2020,4.0,0.0
PG,Papua New Guinea,SK,Slovakia,2020,2.0,0.0
PG,Papua New Guinea,SI,Slovenia,2020,2.0,0.0
PG,Papua New Guinea,BO,Bolivia (Plurinational State of),2020,1.0,0.0
PG,Papua New Guinea,BG,Bulgaria,2020,1.0,0.0
PG,Papua New Guinea,EE,Estonia,2020,1.0,0.0
PG,Papua New Guinea,GR,Greece,2020,1.0,0.0
PG,Papua New Guinea,IS,Iceland,2020,1.0,0.0
PG,Papua New Guinea,AU,Australia,2024,34316.0,0.3245
PG,Papua New Guinea,SB,Solomon Islands,2024,538.0,0.0051
PG,Papua New Guinea,VU,Vanuatu,2024,69.0,0.0007
PG,Papua New Guinea,WS,Samoa,2024,34.0,0.0003
PG,Papua New Guinea,CK,Cook Islands,2024,19.0,0.0002
PG,Papua New Guinea,DK,Denmark,2024,14.0,0.0001
PG,Papua New Guinea,GN,Guinea,2024,14.0,0.0001
PG,Papua New Guinea,FI,Finland,2024,13.0,0.0001
PG,Papua New Guinea,NO,Norway,2024,13.0,0.0001
PG,Papua New Guinea,HU,Hungary,2024,5.0,0.0
PG,Papua New Guinea,LU,Luxembourg,2024,5.0,0.0
PG,Papua New Guinea,IS,Iceland,2024,2.0,0.0
PG,Papua New Guinea,SK,Slovakia,2024,2.0,0.0
PG,Papua New Guinea,SI,Slovenia,2024,2.0,0.0
PG,Papua New Guinea,BO,Bolivia (Plurinational State of),2024,1.0,0.0
PG,Papua New Guinea,BG,Bulgaria,2024,1.0,0.0
PG,Papua New Guinea,EE,Estonia,2024,1.0,0.0
PG,Papua New Guinea,GR,Greece,2024,1.0,0.0
PW,Palau,GU,Guam,2010,1437.0,7.8115
PW,Palau,MP,Northern Mariana Islands,2010,630.0,3.4247
PW,Palau,FM,Micronesia (Fed. States of),2010,285.0,1.5492
PW,Palau,GR,Greece,2010,199.0,1.0818
PW,Palau,NO,Norway,2010,2.0,0.0109
PW,Palau,FI,Finland,2010,1.0,0.0054
PW,Palau,GU,Guam,2015,1449.0,8.1542
PW,Palau,MP,Northern Mariana Islands,2015,564.0,3.1739
PW,Palau,FM,Micronesia (Fed. States of),2015,280.0,1.5757
PW,Palau,GR,Greece,2015,186.0,1.0467
PW,Palau,GN,Guinea,2015,9.0,0.0506
PW,Palau,NO,Norway,2015,2.0,0.0113
PW,Palau,GU,Guam,2020,1531.0,8.605
PW,Palau,MP,Northern Mariana Islands,2020,568.0,3.1924
PW,Palau,FM,Micronesia (Fed. States of),2020,286.0,1.6075
PW,Palau,GR,Greece,2020,189.0,1.0623
PW,Palau,GN,Guinea,2020,7.0,0.0393
PW,Palau,NO,Norway,2020,1.0,0.0056
PW,Palau,GU,Guam,2024,1601.0,9.0478
PW,Palau,MP,Northern Mariana Islands,2024,572.0,3.2326
PW,Palau,FM,Micronesia (Fed. States of),2024,292.0,1.6502
PW,Palau,GR,Greece,2024,201.0,1.1359
PW,Palau,GN,Guinea,2024,7.0,0.0396
PW,Palau,NO,Norway,2024,1.0,0.0057
SB,Solomon Islands,AU,Australia,2010,1944.0,0.3647
SB,Solomon Islands,FJ,Fiji,2010,683.0,0.1282
SB,Solomon Islands,PG,Papua New Guinea,2010,218.0,0.0409
SB,Solomon Islands,VU,Vanuatu,2010,113.0,0.0212
SB,Solomon Islands,NR,Nauru,2010,41.0,0.0077
SB,Solomon Islands,WS,Samoa,2010,13.0,0.0024
SB,Solomon Islands,FI,Finland,2010,4.0,0.0008
SB,Solomon Islands,DK,Denmark,2010,3.0,0.0006
SB,Solomon Islands,NO,Norway,2010,3.0,0.0006
SB,Solomon Islands,BO,Bolivia (Plurinational State of),2010,1.0,0.0002
SB,Solomon Islands,IS,Iceland,2010,1.0,0.0002
SB,Solomon Islands,AU,Australia,2015,2295.0,0.3589
SB,Solomon Islands,FJ,Fiji,2015,703.0,0.1099
SB,Solomon Islands,PG,Papua New Guinea,2015,221.0,0.0346
SB,Solomon Islands,VU,Vanuatu,2015,120.0,0.0188
SB,Solomon Islands,NR,Nauru,2015,64.0,0.01
SB,Solomon Islands,GN,Guinea,2015,12.0,0.0019
SB,Solomon Islands,WS,Samoa,2015,10.0,0.0016
SB,Solomon Islands,NO,Norway,2015,6.0,0.0009
SB,Solomon Islands,FI,Finland,2015,5.0,0.0008
SB,Solomon Islands,DK,Denmark,2015,4.0,0.0006
SB,Solomon Islands,SK,Slovakia,2015,3.0,0.0005
SB,Solomon Islands,BO,Bolivia (Plurinational State of),2015,2.0,0.0003
SB,Solomon Islands,IS,Iceland,2015,1.0,0.0002
SB,Solomon Islands,SI,Slovenia,2015,1.0,0.0002
SB,Solomon Islands,AU,Australia,2020,2886.0,0.3876
SB,Solomon Islands,FJ,Fiji,2020,718.0,0.0964
SB,Solomon Islands,PG,Papua New Guinea,2020,220.0,0.0296
SB,Solomon Islands,VU,Vanuatu,2020,122.0,0.0164
SB,Solomon Islands,NR,Nauru,2020,73.0,0.0098
SB,Solomon Islands,GN,Guinea,2020,10.0,0.0013
SB,Solomon Islands,WS,Samoa,2020,8.0,0.0011
